지점번호,지점명,관리관서,관측시작일
90,속초,강원지방기상청,1968-01-01
93,북춘천,춘천기상대,2004-11-18
95,철원,강원지방기상청,1988-01-01
98,동두천,수도권기상청,1998-10-01
99,파주,수도권기상청,2001-01-01
100,대관령,강원지방기상청,1971-09-01
101,춘천,춘천기상대,1966-01-01
102,백령도,수도권기상청,1988-01-01
104,북강릉,강원지방기상청,2001-01-01
105,강릉,강원지방기상청,1912-03-01
106,동해,강원지방기상청,1992-01-01
108,서울,수도권기상청,1907-10-01
112,인천,수도권기상청,1904-08-01
114,원주,강원지방기상청,1971-08-01
115,울릉도,대구지방기상청,1938-10-01
119,수원,수도권기상청,1964-01-01
121,영월,강원지방기상청,1971-09-01
127,충주,청주기상지청,1971-09-01
129,서산,홍성기상대,1968-01-01
130,울진,안동기상대,1971-09-01
131,청주,청주기상지청,1967-01-01
133,대전,대전지방기상청,1969-01-01
135,추풍령,청주기상지청,1938-01-01
136,안동,안동기상대,1982-01-01
137,상주,대구지방기상청,2003-12-01
138,포항,대구지방기상청,1943-01-01
140,군산,전주기상지청,1968-01-01
143,대구,대구지방기상청,1907-01-01
146,전주,전주기상지청,1919-01-01
152,울산,울산기상대,1932-01-01
155,창원,창원기상대,1985-01-01
156,광주,광주지방기상청,1939-01-01
159,부산,부산지방기상청,1904-08-01
162,통영,부산지방기상청,1968-01-01
165,목포,목포기상대,1906-03-01
168,여수,광주지방기상청,1942-01-01
169,흑산도,광주지방기상청,1958-01-01
170,완도,목포기상대,1971-08-01
172,고창,전주기상지청,2005-01-01
174,순천,광주지방기상청,2003-12-01
177,홍성,홍성기상대,1988-01-01
184,제주,제주지방기상청,1923-05-01
185,고산,제주지방기상청,1988-01-01
188,성산,제주지방기상청,1971-09-01
189,서귀포,제주지방기상청,1961-01-01
192,진주,창원기상대,1969-01-01
201,강화,인천기상대,1971-09-01
202,양평,수도권기상청,1972-01-01
203,이천,수도권기상청,1971-09-01
211,인제,강원지방기상청,1971-09-01
212,홍천,춘천기상대,1971-08-01
216,태백,강원지방기상청,1985-01-01
217,정선군,강원지방기상청,2001-01-01
221,제천,청주기상지청,1972-01-01
226,보은,청주기상지청,1985-01-01
232,천안,대전지방기상청,1971-09-01
235,보령,대전지방기상청,1988-01-01
236,부여,대전지방기상청,1971-09-01
238,금산,대전지방기상청,1988-01-01
239,세종,대전지방기상청,2012-09-01
243,부안,전주기상지청,1971-09-01
244,임실,전주기상지청,1971-09-01
245,정읍,전주기상지청,1988-01-01
247,남원,전주기상지청,1971-09-01
248,장수,전주기상지청,1988-01-01
251,고창군,전주기상지청,2014-09-01
252,영광군,광주지방기상청,2014-09-01
253,김해시,부산지방기상청,2014-09-01
254,순창군,전주기상지청,2014-09-01
255,북창원,창원기상대,2014-09-01
257,양산시,울산기상대,2014-09-01
258,보성군,광주지방기상청,2014-09-01
259,강진군,목포기상대,2014-09-01
260,장흥,목포기상대,1988-01-01
261,해남,목포기상대,1971-09-01
262,고흥,광주지방기상청,1971-09-01
263,의령군,창원기상대,2014-09-01
264,함양군,창원기상대,2014-09-01
266,광양시,광주지방기상청,2014-09-01
268,진도군,목포기상대,2014-09-01
271,봉화,대구지방기상청,1988-01-01
272,영주,안동기상대,1971-09-01
273,문경,안동기상대,1988-01-01
276,청송군,대구지방기상청,2014-09-01
277,영덕,대구지방기상청,1971-09-01
278,의성,대구지방기상청,1988-01-01
279,구미,대구지방기상청,1971-09-01
281,영천,대구지방기상청,1971-09-01
283,경주시,대구지방기상청,2014-09-01
284,거창,울산기상대,1988-01-01
285,합천,울산기상대,1988-01-01
288,밀양,울산기상대,1988-01-01
289,산청,창원기상대,1988-01-01
294,거제,부산지방기상청,1988-01-01
295,남해,부산지방기상청,1988-01-01
