도명,지점명,지점코드,위도,경도,고도,관측시작일
경기도,가평군 가평읍,477802A001,37.84621,127.50063,80.0,2011-05-22
경기도,고양시 구산동,411801A001,37.67453,126.7007,24.0,2010-12-06
경기도,고양시 덕양구,412040A002,37.64918,126.87036,39.0,2013-08-24
경기도,광주시 목현동,464030A001,37.43231,127.23394,91.0,2010-11-01
경기도,김포시 월곶면,415743A001,37.69489,126.55614,43.0,2010-12-14
경기도,남양주 진건읍,472830A001,37.64977,127.19327,88.0,2012-06-05
경기도,시흥시 하중동,429843A001,37.40104,126.8079,12.0,2010-11-05
경기도,안성시 보개면,456871A001,37.02392,127.28776,73.0,2010-12-13
경기도,양주시 은현면,482841A001,37.82046,126.97269,107.0,2010-12-06
경기도,양평군 양평읍,476801A001,37.50897,127.51295,191.0,2010-09-28
경기도,여주시 상거동,469803A001,37.25226,127.63796,87.0,2010-11-10
경기도,연천군 연천읍,486803A001,38.08436,127.07843,49.0,2010-11-12
경기도,용인시 처인구,449872A001,37.17386,127.2989,149.0,2010-11-10
경기도,이천시 중리동,467800A001,37.27261,127.43305,90.0,2010-11-08
경기도,파주시 아동동,413813A001,37.76469,126.79618,23.0,2010-11-11
경기도,평택시 오성면,451873A001,37.01257,126.98065,31.0,2010-11-15
경기도,포천시 신북면,487915A001,37.92364,127.22573,128.0,2010-11-26
경기도,화성시 장안면,445891A001,37.0773,126.8738,42.0,2011-04-16
강원특별자치도,동해시 북평동,240813A001,37.4852,129.11882,55.0,2012-05-10
강원특별자치도,삼척시 근덕면,245832A001,37.38477,129.22837,19.0,2011-01-28
강원특별자치도,삼척시 미로면,245825A002,37.41026,129.10624,26.0,2015-01-27
강원특별자치도,속초시 대포동,217060A001,38.16919,128.5997,68.0,2010-09-15
강원특별자치도,양구군 만대리,255840A001,38.26315,128.26315,501.0,2012-06-18
강원특별자치도,양구군 후리,255840A002,38.297,128.14246,457.0,2013-05-22
강원특별자치도,양양군 양양읍,215821A001,38.09199,128.63243,23.0,2013-11-29
강원특별자치도,영월군 영월읍,230802A001,37.16763,128.47716,220.0,2011-11-09
강원특별자치도,원주시 흥업면,220844A001,37.29503,127.91702,154.0,2010-12-01
강원특별자치도,인제군 인제읍,252805A001,38.09657,128.18415,229.0,2010-10-13
강원특별자치도,정선군 신동읍,026136A003,37.25987,128.58477,261.0,2015-10-19
강원특별자치도,정선군 임계면,233852A002,37.50471,128.87632,550.0,2014-10-07
강원특별자치도,정선군 정선읍,233852A001,37.42332,128.65395,374.0,2012-04-24
강원특별자치도,철원군 동송읍,269811A001,38.20324,127.25026,205.0,2010-12-16
강원특별자치도,춘천시 신북읍,200821A001,37.934,127.75377,98.0,2010-09-28
강원특별자치도,태백시 황지동,235802A001,37.20634,128.9857,733.0,2010-12-04
강원특별자치도,평창군 여만리,232803A001,37.37715,128.39402,293.0,2010-12-07
강원특별자치도,홍천군 화동리,250802A001,37.70566,127.85943,139.0,2011-01-28
강원특별자치도,화천군 화천읍,209802A001,38.11013,127.69448,139.0,2011-02-22
강원특별자치도,횡성군 공근면,225874A001,37.5275,127.96066,146.0,2011-05-25
충청북도,영동군 심천면,370853A001,36.20687,127.71638,100.0,2010-09-28
충청북도,옥천군 옥천읍,373805A001,36.29997,127.59653,117.0,2002-01-01
충청북도,음성군 소이면,269804A001,36.91366,127.76175,100.0,2011-04-15
충청북도,제천시 봉양읍,390874A001,37.16156,128.17668,320.0,2010-12-01
충청북도,진천군 진천읍,365803A001,36.85385,127.42977,101.0,2010-11-18
충청북도,청원군 오창읍,363883B001,36.72304,127.46507,40.0,2011-01-26
충청북도,청주시 남일면,363844A001,36.58794,127.50645,58.0,2011-01-07
충청북도,충주시 달천동,380959A001,36.95015,127.89728,76.0,2010-08-19
충청남도,계룡시 두마면,321916A001,36.26169,127.27726,148.0,2011-06-30
충청남도,공주시 우성면,032528A001,36.4934,127.09924,46.0,2015-12-13
충청남도,금산군 금성면,312831A001,36.12584,127.49408,168.0,2010-09-08
충청남도,논산시 광석면,320862A001,36.22795,127.0856,31.0,2012-08-14
