예보구역코드,구역명,특성,Unnamed: 3,특성.1,Unnamed: 5
11A00101,백령도,C,,A,도시(지역): 육상예보 조회
11B00000,서울.인천.경기,A,,C,"육상: 육상예보, 중기기온 조회"
11B10101,서울,C,,H,해양: 해상예보 조회
11B10102,과천,C,,,
11B10103,광명,C,,,
11B20101,강화,C,,,
11B20102,김포,C,,,
11B20201,인천,C,,,
11B20202,시흥,C,,,
11B20203,안산,C,,,
11B20204,부천,C,,,
11B20301,의정부,C,,,
11B20302,고양,C,,,
11B20304,양주,C,,,
11B20305,파주,C,,,
11B20401,동두천,C,,,
11B20402,연천,C,,,
11B20403,포천,C,,,
11B20404,가평,C,,,
11B20501,구리,C,,,
11B20502,남양주,C,,,
11B20503,양평,C,,,
11B20504,하남,C,,,
11B20601,수원,C,,,
11B20602,안양,C,,,
11B20603,오산,C,,,
11B20604,화성,C,,,
11B20605,성남,C,,,
11B20606,평택,C,,,
11B20609,의왕,C,,,
11B20610,군포,C,,,
11B20611,안성,C,,,
11B20612,용인,C,,,
11B20701,이천,C,,,
11B20702,광주,C,,,
11B20703,여주,C,,,
11BD0000,서울경기.강원영서,0,,,
11C00000,충청도,A,,,
11C10000,충청북도,A,,,
11C10101,충주,C,,,
11C10102,진천,C,,,
11C10103,음성,C,,,
11C10201,제천,C,,,
11C10202,단양,C,,,
11C10301,청주,C,,,
11C10302,보은,C,,,
11C10303,괴산,C,,,
11C10304,증평,C,,,
11C10401,추풍령,C,,,
11C10402,영동,C,,,
11C10403,옥천,C,,,
11C20000,충청남도,A,,,
11C20101,서산,C,,,
11C20102,태안,C,,,
11C20103,당진,C,,,
11C20104,홍성,C,,,
11C20201,보령,C,,,
11C20202,서천,C,,,
11C20301,천안,C,,,
11C20302,아산,C,,,
11C20303,예산,C,,,
11C20401,대전,C,,,
11C20402,공주,C,,,
11C20403,계룡,C,,,
11C20404,세종,C,,,
11C20501,부여,C,,,
11C20502,청양,C,,,
11C20601,금산,C,,,
11C20602,논산,C,,,
11D10000,강원영서,A,,,
11D10101,철원,C,,,
11D10102,화천,C,,,
11D10201,인제,C,,,
11D10202,양구,C,,,
11D10301,춘천,C,,,
11D10302,홍천,C,,,
11D10401,원주,C,,,
11D10402,횡성,C,,,
11D10501,영월,C,,,
11D10502,정선,C,,,
11D10503,평창,C,,,
11D20000,강원영동,A,,,
11D20201,대관령,C,,,
11D20301,태백,C,,,
11D20401,속초,C,,,
11D20402,고성,C,,,
11D20403,양양,C,,,
11D20501,강릉,C,,,
11D20601,동해,C,,,
11D20602,삼척,C,,,
11E00101,울릉도,C,,,
11E00102,독도,C,,,
11F00000,전라도,A,,,
11F10000,전북자치도,A,,,
11F10201,전주,C,,,
11F10202,익산,C,,,
11F10203,정읍,C,,,
11F10204,완주,C,,,
11F10301,장수,C,,,
11F10302,무주,C,,,
11F10303,진안,C,,,
11F10401,남원,C,,,
11F10402,임실,C,,,
11F10403,순창,C,,,
11F20000,전라남도,A,,,
11F20301,완도,C,,,
11F20302,해남,C,,,
11F20303,강진,C,,,
11F20304,장흥,C,,,
11F20401,여수,C,,,
11F20402,광양,C,,,
11F20403,고흥,C,,,
11F20404,보성,C,,,
11F20405,순천시,C,,,
11F20501,광주,C,,,
11F20502,장성,C,,,
11F20503,나주,C,,,
11F20504,담양,C,,,
11F20505,화순,C,,,
11F20601,구례,C,,,
11F20602,곡성,C,,,
11F20603,순천,C,,,
11F20701,흑산도,C,,,
11G00000,제주도,A,,,
11G00101,성산,C,,,
11G00201,제주,C,,,
11G00302,성판악,C,,,
11G00401,서귀포,C,,,
11G00501,고산,C,,,
11G00601,이어도,C,,,
11G00800,추자도,C,,,
11G00901,산천단,C,,,
11G01001,한남,C,,,
11H00000,경상도,A,,,
11H10000,경상북도,A,,,
11H10101,울진,C,,,
11H10102,영덕,C,,,
11H10201,포항,C,,,
11H10202,경주,C,,,
11H10301,문경,C,,,
11H10302,상주,C,,,
11H10303,예천,C,,,
11H10401,영주,C,,,
11H10402,봉화,C,,,
11H10403,영양,C,,,
11H10501,안동,C,,,
11H10502,의성,C,,,
11H10503,청송,C,,,
11H10601,김천,C,,,
11H10602,구미,C,,,
11H10604,고령,C,,,
11H10605,성주,C,,,
11H10701,대구,C,,,
11H10702,영천,C,,,
11H10703,경산,C,,,
11H10704,청도,C,,,
11H10705,칠곡,C,,,
11H10707,군위,C,,,
11H20000,경상남도,A,,,
11H20101,울산,C,,,
11H20102,양산,C,,,
11H20201,부산,C,,,
11H20301,창원,C,,,
11H20304,김해,C,,,
11H20401,통영,C,,,
11H20402,사천,C,,,
11H20403,거제,C,,,
11H20404,고성,C,,,
11H20405,남해,C,,,
11H20501,함양,C,,,
11H20502,거창,C,,,
11H20503,합천,C,,,
11H20601,밀양,C,,,
11H20602,의령,C,,,
11H20603,함안,C,,,
11H20604,창녕,C,,,
11H20701,진주,C,,,
11H20703,산청,C,,,
11H20704,하동,C,,,
11I00000,황해도,A,,,
11I10001,사리원,C,,,
11I10002,신계,C,,,
11I20001,해주,C,,,
11I20002,개성,C,,,
11I20003,장연(용연),C,,,
11J10000,평안북도,A,,,
11J10001,신의주,C,,,
11J10002,삭주(수풍),C,,,
11J10003,구성,C,,,
11J10004,자성(중강),C,,,
11J10005,강계,C,,,
11J10006,희천,C,,,
11J20000,평안남도,A,,,
11J20001,평양,C,,,
11J20002,진남포(남포),C,,,
11J20004,안주,C,,,
11J20005,양덕,C,,,
11K10000,함경북도,A,,,
11K10001,청진,C,,,
11K10002,웅기(선봉),C,,,
11K10003,성진(김책),C,,,
11K10004,무산(삼지연),C,,,
11K20000,함경남도,A,,,
11K20001,함흥,C,,,
11K20002,장진,C,,,
11K20003,북청(신포),C,,,
11K20004,혜산,C,,,
11K20005,풍산,C,,,
11L10001,원산,C,,,
11L10002,고성(장전),C,,,
11L10003,평강,C,,,
12A00000,서해,H,,,
12A10000,서해북부,H,,,
12A20000,서해중부,H,,,
12A30000,서해남부,H,,,
12B00000,남해,H,,,
12B10000,남해서부,H,,,
12B10500,제주도해상,H,,,
12B20000,남해동부,H,,,
12C00000,동해,H,,,
12C10000,동해남부,H,,,
12C20000,동해중부,H,,,
12C30000,동해북부,H,,,
12D00000,대화퇴,H,,,
12E00000,동중국해,H,,,
12F00000,규슈,H,,,
12F00100,규슈(서해),I,,,
12F00200,규슈(남해),I,,,
12G00000,연해주,H,,,
21F10501,군산,C,,,
21F10502,김제,C,,,
21F10601,고창,C,,,
21F10602,부안,C,,,
21F20101,함평,C,,,
21F20102,영광,C,,,
21F20201,진도,C,,,
21F20801,목포,C,,,
21F20802,영암,C,,,
21F20803,신안,C,,,
21F20804,무안,C,,,
